ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
sg,lt40,,,,,,212,0301,245+481,,,,, 17.7607,104.2866
sg,lt41,,,,,,212,0301,245+527,,,,, 17.7606,104.2870
sg,lt42,,,,,,212,0301,245+579,,,,, 17.7604,104.2875
sg,lt43,,,,,,212,0301,245+622,,,,, 17.7603,104.2879
sg,lt44,,,,,,212,0301,245+670,,,,, 17.7602,104.2883
sg,lt45,,,,,,212,0301,245+714,,,,, 17.7601,104.2887
sg,lt46,,,,,,212,0301,245+761,,,,, 17.7600,104.2891
sg,lt47,,,,,,212,0301,246+421,,,,, 17.7585,104.2952
sg,lt48,,,,,,212,0301,246+469,,,,, 17.7583,104.2956
sg,lt49,,,,,,212,0301,246+515,,,,, 17.7582,104.2960
sg,lt50,,,,,,212,0301,247+395,,,,, 17.7561,104.3040
sg,lt51,,,,,,212,0301,247+450,,,,, 17.7560,104.3045
sg,lt52,,,,,,212,0301,247+475,,,,, 17.7560,104.3048
sg,lt53,,,,,,212,0301,247+520,,,,, 17.7559,104.3052
sg,lt54,,,,,,212,0301,247+557,,,,, 17.7558,104.3055
sg,lt55,,,,,,212,0301,247+617,,,,, 17.7556,104.3060
sg,lt56,,,,,,212,0301,247+677,,,,, 17.7555,104.3066
sg,lt57,,,,,,212,0301,247+720,,,,, 17.7554,104.3070
sg,lt58,,,,,,212,0301,247+767,,,,, 17.7552,104.3074
sg,lt59,,,,,,212,0301,247+813,,,,, 17.7551,104.3079
sg,lt60,,,,,,212,0301,247+860,,,,, 17.7550,104.3083
sg,lt61,,,,,,212,0301,247+860,,,,, 17.7549,104.3088
sg,lt62,,,,,,212,0301,247+952,,,,, 17.7548,104.3091
sg,lt63,,,,,,212,0301,247+994,,,,, 17.7547,104.3095
sg,lt64,,,,,,212,0301,248+044,,,,, 17.7546,104.3100
sg,lt65,,,,,,212,0301,248+091,,,,, 17.7545,104.3104
sg,lt66,,,,,,212,0301,248+137,,,,, 17.7544,104.3108
sg,lt67,,,,,,212,0301,248+179,,,,, 17.7543,104.3112
sg,lt68,,,,,,212,0301,248+232,,,,, 17.7541,104.3117
sg,lt69,,,,,,212,0301,248+277,,,,, 17.7540,104.3121
sg,lt70,,,,,,212,0301,248+323,,,,, 17.7539,104.3126
sg,lt71,,,,,,212,0301,248+370,,,,, 17.7538,104.3130
sg,lt72,,,,,,212,0301,248+411,,,,, 17.7537,104.3133
sg,lt73,,,,,,212,0301,248+464,,,,, 17.7536,104.3138
sg,lt74,,,,,,212,0301,248+523,,,,, 17.7534,104.3144
sg,lt75,,,,,,212,0301,248+557,,,,, 17.7534,104.3147
sg,lt76,,,,,,212,0301,248+604,,,,, 17.7532,104.3151
sg,lt77,,,,,,212,0301,248+651,,,,, 17.7531,104.3155
sg,lt78,,,,,,212,0301,303+398,,,,, 17.4789,104.7251
sg,lt79,,,,,,212,0301,303+433,,,,, 17.4786,104.7252
sg,lt80,,,,,,212,0301,303+466,,,,, 17.4783,104.7253
sg,lt81,,,,,,212,0301,303+501,,,,, 17.4780,104.7254
sg,lt82,,,,,,212,0301,303+541,,,,, 17.4777,104.7256
sg,lt83,,,,,,212,0301,303+603,,,,, 17.4772,104.7258
sg,lt84,,,,,,212,0301,303+676,,,,, 17.4766,104.7260
